Article File,Article Citation,AccessionID,LastUpdated (YYYY-MM-DD HH:MM:SS),PMID,License,Retracted,year,month;
PMC001xxxxxx/PMC1974839.xml,J Exp Med. 1992 Jun 1; 175(6):1423-1431,PMC1974839,2022-01-13 07:56:21,1588273,CC BY-NC-SA,no,1992,6.0
PMC001xxxxxx/PMC1950463.xml,J Exp Med. 1993 Feb 1; 177(2):265-272,PMC1950463,2022-01-13 07:57:06,8426105,CC BY-NC-SA,no,1993,2.0
PMC001xxxxxx/PMC1283140.xml,J Cell Biol. 1996 Dec 2; 135(6):1879-1887,PMC1283140,2022-01-13 07:07:08,8991098,CC BY-NC-SA,no,1996,12.0
PMC001xxxxxx/PMC1424222.xml,J Cell Biol. 1997 Dec 29; 139(7):1719-1733,PMC1424222,2022-01-13 07:10:05,9412467,CC BY-NC-SA,no,1997,12.0
PMC001xxxxxx/PMC1887763.xml,J Gen Physiol. 1998 Jan 1; 111(1):83-93,PMC1887763,2022-01-13 09:37:20,9417137,CC BY-NC-SA,no,1998,1.0
PMC001xxxxxx/PMC1887764.xml,J Gen Physiol. 1998 Jan 1; 111(1):161-180,PMC1887764,2022-01-13 09:37:20,9417142,CC BY-NC-SA,no,1998,1.0
PMC001xxxxxx/PMC1887765.xml,J Gen Physiol. 1998 Jan 1; 111(1):95-112,PMC1887765,2022-01-13 09:37:20,9417138,CC BY-NC-SA,no,1998,1.0
PMC001xxxxxx/PMC1887766.xml,J Gen Physiol. 1998 Jan 1; 111(1):39-51,PMC1887766,2022-01-13 09:37:20,9417133,CC BY-NC-SA,no,1998,1.0
PMC001xxxxxx/PMC1887767.xml,J Gen Physiol. 1998 Jan 1; 111(1):113-125,PMC1887767,2022-01-13 09:37:20,9417139,CC BY-NC-SA,no,1998,1.0
PMC001xxxxxx/PMC1887768.xml,J Gen Physiol. 1998 Jan 1; 111(1):139-160,PMC1887768,2022-01-13 09:37:21,9417141,CC BY-NC-SA,no,1998,1.0
PMC001xxxxxx/PMC1887769.xml,J Gen Physiol. 1998 Jan 1; 111(1):127-138,PMC1887769,2022-01-13 09:37:21,9417140,CC BY-NC-SA,no,1998,1.0
PMC001xxxxxx/PMC1887770.xml,J Gen Physiol. 1998 Jan 1; 111(1):53-64,PMC1887770,2022-01-13 09:37:21,9417134,CC BY-NC-SA,no,1998,1.0
PMC001xxxxxx/PMC1887771.xml,J Gen Physiol. 1998 Jan 1; 111(1):65-74,PMC1887771,2022-01-13 09:37:21,9417135,CC BY-NC-SA,no,1998,1.0
PMC001xxxxxx/PMC1887772.xml,J Gen Physiol. 1998 Jan 1; 111(1):3-6,PMC1887772,2022-01-13 09:37:21,9417131,CC BY-NC-SA,no,1998,1.0
PMC001xxxxxx/PMC1887773.xml,J Gen Physiol. 1998 Jan 1; 111(1):1,PMC1887773,2022-01-13 09:37:21,9417130,CC BY-NC-SA,no,1998,1.0
PMC001xxxxxx/PMC1887774.xml,J Gen Physiol. 1998 Jan 1; 111(1):75-82,PMC1887774,2022-01-13 09:37:21,9417136,CC BY-NC-SA,no,1998,1.0
